Hybrid,Location,PlantHeight
G21,SCH1,144.29488216151472
G21,TXH1,160.8782637419622
G21,TXH2,155.25054901502207
G21,TXH3,187.10343649653544
G21,WIH1,165.7397045439002
G21,WIH2,191.7724268965286
G21,WIH3,185.6959914403343
G22,DEH1,174.33083958919124
G22,GAH1,134.52894606521187
G22,GAH2,121.1002461488757
G22,GEH1,180.31309551843165
G22,IAH1,200.14117740139224
G22,IAH3,200.1753379532064
G22,IAH4,182.65174774386819
G22,ILH1,159.89471653109538
G22,INH1,198.6946768565563
G22,MIH1,228.11630708152234
G22,MOH2,124.69798795750074
G22,NCH1,175.31949833098412
G22,NEH1,188.52956446638765
G22,NEH2,175.3680587131165
G22,NEH3,205.81812823888916
G22,NYH2,214.9047549482842
G22,NYH3,175.6176825394507
G22,SCH1,168.8660289224207
G22,TXH1,124.77224013385552
G22,TXH2,148.79837109798967
G22,TXH3,180.65125857950304
G22,WIH2,185.3202489794962
G22,WIH3,179.24381352330192
G23,GAH1,114.5584226423245
G23,GAH2,164.55390131294251
G23,IAH1,170.09305921914242
G23,IAH3,132.39420360659847
G23,INH1,183.10088913717047
G23,MOH2,118.63791377351203
G23,NCH1,146.40568047630353
G23,NEH1,203.92223664472886
G23,NEH2,145.0895019174307
G23,NEH3,166.76071761317652
G23,SCH1,139.27977767893498
G23,WIH3,170.82289484184136
G24,GAH1,94.3513753256318
G24,GAH2,62.95762806708734
G24,IAH1,121.0530818390059
G24,IAH3,128.30487520342814
G24,INH1,118.64876240946973
G24,MOH2,66.64998725032845
G24,NCH1,119.25202118804637
G24,NEH1,131.5930538658189
G24,NEH2,126.7281702198115
G24,NEH3,138.15367029648252
G24,SCH1,100.78400030566465
G25,GAH1,120.10548208399122
G25,GAH2,178.2384737598209
G25,IAH1,199.58033968065433
G25,IAH3,182.72719963051395
G25,INH1,235.17735364171148
G25,MOH2,119.95966274803337
G25,NCH1,166.2316064473795
G25,NEH1,164.52754153044032
G25,NEH2,149.15726700450864
G25,NEH3,228.03479551803957
G25,SCH1,136.68454240665312
G25,WIH3,190.16467852536582
G26,DEH1,205.55630666726222
G26,GAH1,171.01039635102842
G26,GAH2,172.9199265229128
G26,GEH1,154.43071192971837
G26,IAH1,241.95848217699017
G26,IAH3,200.27938026937485
G26,IAH4,225.02368687583075
G26,ILH1,203.8075880734326
G26,MIH1,227.63552991961944
G26,MOH2,160.22869817869156
G26,NCH1,211.51230212074586
G26,NEH1,208.55603446433128
G26,NEH2,195.0633060188365
G26,NEH3,213.22576764960195
G26,NYH2,249.7657683613104
G26,NYH3,226.22319942095024
G26,SCH1,184.19358477371455
G26,TXH1,175.4570173015498
G26,TXH2,180.02383817606065
G26,TXH3,211.876725657574
G26,WIH1,190.5129937049388
G26,WIH2,216.54571605756718
G26,WIH3,210.4692806013729
G27,DEH1,189.6146450104035
G27,GAH1,163.50239774555263
G27,GAH2,155.97648023367736
G27,GEH1,178.56838867866117
G27,IAH1,206.75369123556982
G27,IAH3,188.8027170325706
G27,IAH4,189.07053579972555
G27,ILH1,157.9568201909188
G27,INH1,180.6345554868778
G27,MIH1,235.29848189219604
G27,MOH2,132.09569165302923
G27,NCH1,145.0406432945015
G27,NEH1,208.6578730112228
G27,NEH2,152.18714422042842
G27,NEH3,162.99678658465848
G27,NYH3,166.31006100678906
G27,SCH1,182.5423383517463
G27,TXH1,173.55243744435626
G27,TXH2,164.08217651920194
